tsne_1,tsne_2,validation_position,dataset_index,label_id,label,experiment
-31.83811,7.8898306,148,11279,6,Neutral,pretrained_ce
48.844803,-7.2093925,149,1660,3,Happiness,pretrained_ce
-17.762726,-31.252724,152,8777,4,Sadness,pretrained_ce
17.237803,-4.8903685,154,5185,3,Happiness,pretrained_ce
22.88436,-5.044657,155,2181,3,Happiness,pretrained_ce
29.75922,3.6308064,156,2311,3,Happiness,pretrained_ce
40.23758,2.4487882,158,6120,3,Happiness,pretrained_ce
14.676412,-3.183412,161,8973,3,Happiness,pretrained_ce
40.03783,-14.654285,162,1018,3,Happiness,pretrained_ce
-32.246243,2.5808861,163,11612,6,Neutral,pretrained_ce
-21.612001,-2.0132785,164,11460,6,Neutral,pretrained_ce
-30.327127,-3.5412514,165,11534,6,Neutral,pretrained_ce
-24.694805,-17.887169,166,8101,4,Sadness,pretrained_ce
24.73711,-1.9390967,167,903,3,Happiness,pretrained_ce
31.325796,-16.406927,168,3165,3,Happiness,pretrained_ce
-12.019419,-36.689667,169,2965,3,Happiness,pretrained_ce
4.7501984,-0.74552405,170,4648,3,Happiness,pretrained_ce
-31.937517,10.002737,173,11246,6,Neutral,pretrained_ce
8.73329,-5.7049475,174,1925,3,Happiness,pretrained_ce
38.921974,1.7652022,175,1427,3,Happiness,pretrained_ce
49.513786,-5.9048667,176,6311,3,Happiness,pretrained_ce
-25.29513,6.887314,179,11878,6,Neutral,pretrained_ce
32.339874,-2.0698674,180,8568,3,Happiness,pretrained_ce
17.698904,-7.2492633,181,3095,3,Happiness,pretrained_ce
-19.67994,-23.99424,184,8220,4,Sadness,pretrained_ce
-17.652025,-26.937223,185,6682,4,Sadness,pretrained_ce
12.0363035,32.18677,187,8531,5,Anger,pretrained_ce
-4.7713337,-3.6058326,189,9572,2,Disgust,pretrained_ce
-14.963838,-2.0212286,190,11314,6,Neutral,pretrained_ce
-13.940476,3.5661247,192,8599,3,Happiness,pretrained_ce
-29.848835,9.540062,193,9981,6,Neutral,pretrained_ce
-20.642471,-16.502472,195,4831,4,Sadness,pretrained_ce
-23.148785,4.812619,197,11901,6,Neutral,pretrained_ce
11.328745,26.56165,198,6533,5,Anger,pretrained_ce
37.769245,-4.261496,200,72,3,Happiness,pretrained_ce
-28.20038,-8.532918,201,9930,6,Neutral,pretrained_ce
-7.9438386,-20.281776,203,7078,4,Sadness,pretrained_ce
11.349166,3.3881273,204,5063,3,Happiness,pretrained_ce
24.764688,0.5092018,206,6125,3,Happiness,pretrained_ce
-8.973925,2.1241221,208,8662,0,Surprise,pretrained_ce
-34.41652,5.272906,209,5363,0,Surprise,pretrained_ce
10.579868,-9.305058,210,1597,2,Disgust,pretrained_ce
5.481518,26.709433,211,11176,6,Neutral,pretrained_ce
-8.038823,24.91678,214,7085,0,Surprise,pretrained_ce
28.775974,-1.0009114,215,3113,3,Happiness,pretrained_ce
-39.381893,10.247712,217,11778,6,Neutral,pretrained_ce
3.6083598,20.805338,218,9298,1,Fear,pretrained_ce
-14.923214,28.11982,219,5300,0,Surprise,pretrained_ce
-13.263003,25.1314,222,5225,0,Surprise,pretrained_ce
-3.2027378,20.068264,225,6384,0,Surprise,pretrained_ce
-24.733795,-23.34289,226,2963,4,Sadness,pretrained_ce
44.676353,6.372823,227,2025,3,Happiness,pretrained_ce
25.542725,-12.099386,228,8388,3,Happiness,pretrained_ce
-10.271426,19.547913,230,2961,4,Sadness,pretrained_ce
-18.349884,3.4039245,231,11043,6,Neutral,pretrained_ce
-19.267405,-34.421196,232,7788,4,Sadness,pretrained_ce
-20.88928,-25.297052,234,7976,4,Sadness,pretrained_ce
-15.001239,-34.008625,235,4360,4,Sadness,pretrained_ce
-8.227683,-11.040067,236,8291,3,Happiness,pretrained_ce
23.66871,-1.0452076,239,1128,3,Happiness,pretrained_ce
36.360096,-13.183571,240,2896,3,Happiness,pretrained_ce
3.751762,21.153978,241,7372,1,Fear,pretrained_ce
-25.814661,-24.921164,242,5848,4,Sadness,pretrained_ce
-22.667772,-21.089825,243,3734,4,Sadness,pretrained_ce
-30.831669,12.813943,244,11307,6,Neutral,pretrained_ce
-15.420527,-10.886001,246,5377,4,Sadness,pretrained_ce
43.877132,-6.9317794,247,5558,3,Happiness,pretrained_ce
21.893879,6.722628,248,3284,3,Happiness,pretrained_ce
39.30104,-9.668791,249,8746,3,Happiness,pretrained_ce
-12.750217,38.54778,250,7726,0,Surprise,pretrained_ce
-16.50287,-28.08362,251,6902,4,Sadness,pretrained_ce
-24.489914,-15.682946,252,6676,4,Sadness,pretrained_ce
-20.48691,14.12423,253,803,0,Surprise,pretrained_ce
31.697348,1.6028107,255,3528,3,Happiness,pretrained_ce
-14.189261,-10.446884,256,6828,4,Sadness,pretrained_ce
-19.797304,11.274933,257,10980,6,Neutral,pretrained_ce
-9.6985445,0.8688388,259,11459,6,Neutral,pretrained_ce
-14.17153,-10.007911,261,11766,6,Neutral,pretrained_ce
-16.44696,36.719116,266,7004,0,Surprise,pretrained_ce
-18.776571,-35.435036,267,1165,4,Sadness,pretrained_ce
7.4946947,28.37347,270,7309,5,Anger,pretrained_ce
-5.7029104,-12.407966,271,9738,2,Disgust,pretrained_ce
-15.950092,-17.49601,273,8038,4,Sadness,pretrained_ce
-11.091922,30.807625,276,2838,0,Surprise,pretrained_ce
-25.40884,-15.548194,279,8084,4,Sadness,pretrained_ce
-17.546621,-31.604568,280,3880,4,Sadness,pretrained_ce
25.644775,-13.088023,281,3028,3,Happiness,pretrained_ce
-13.025268,18.98512,282,12221,6,Neutral,pretrained_ce
39.91252,-6.9543633,285,6013,3,Happiness,pretrained_ce
25.448036,-15.139699,288,7236,3,Happiness,pretrained_ce
38.936142,-19.153248,291,1847,3,Happiness,pretrained_ce
10.716656,7.7948165,292,2216,3,Happiness,pretrained_ce
29.285208,-2.5752094,293,2930,3,Happiness,pretrained_ce
-22.156847,13.981205,294,7435,0,Surprise,pretrained_ce
48.978912,3.7283545,295,8807,3,Happiness,pretrained_ce
-20.190855,18.859138,297,11522,6,Neutral,pretrained_ce
17.196426,-0.44078004,298,9023,3,Happiness,pretrained_ce
17.130999,-5.5403323,299,255,3,Happiness,pretrained_ce
-28.92042,-13.582037,300,11844,6,Neutral,pretrained_ce
-7.030215,-28.562654,302,8047,4,Sadness,pretrained_ce
-0.77415913,8.176986,303,1658,3,Happiness,pretrained_ce
35.753872,-5.722751,304,5250,3,Happiness,pretrained_ce
31.502354,-3.7827108,305,4082,3,Happiness,pretrained_ce
42.90421,-5.288011,307,2156,3,Happiness,pretrained_ce
-26.571022,-8.527884,308,9870,6,Neutral,pretrained_ce
23.962076,-5.609913,310,2809,3,Happiness,pretrained_ce
-29.636887,3.9351952,312,2759,4,Sadness,pretrained_ce
-4.4172487,-10.765454,313,9532,2,Disgust,pretrained_ce
0.339215,21.245762,314,9160,1,Fear,pretrained_ce
41.103615,-7.8757343,315,1979,3,Happiness,pretrained_ce
35.62201,-3.4680183,317,2334,3,Happiness,pretrained_ce
-16.64939,36.847015,319,8492,0,Surprise,pretrained_ce
-37.01638,12.501637,321,10315,6,Neutral,pretrained_ce
-21.045324,17.460846,322,11997,6,Neutral,pretrained_ce
9.6458,-8.5610695,323,5962,3,Happiness,pretrained_ce
-11.719503,26.600763,325,5696,0,Surprise,pretrained_ce
-3.2606478,4.368596,327,8726,3,Happiness,pretrained_ce
-6.737281,-8.612702,328,10379,6,Neutral,pretrained_ce
0.76681185,-7.877246,330,3737,2,Disgust,pretrained_ce
-28.202225,2.30658,331,10850,6,Neutral,pretrained_ce
-9.934836,23.283749,332,8424,0,Surprise,pretrained_ce
-33.043945,0.57171446,333,10676,6,Neutral,pretrained_ce
27.043957,0.56937677,336,503,3,Happiness,pretrained_ce
-18.188341,33.203056,338,5012,0,Surprise,pretrained_ce
-9.575976,-19.462574,339,9594,2,Disgust,pretrained_ce
31.348682,0.210083,340,3463,3,Happiness,pretrained_ce
12.773633,0.033749785,341,3179,3,Happiness,pretrained_ce
17.127962,-15.663582,342,5669,3,Happiness,pretrained_ce
19.5199,-1.620276,347,2918,3,Happiness,pretrained_ce
-36.417263,8.914099,348,12038,6,Neutral,pretrained_ce
41.351048,6.15743,349,5256,3,Happiness,pretrained_ce
-9.242259,-28.866327,351,8264,4,Sadness,pretrained_ce
-12.423142,26.370428,354,7902,0,Surprise,pretrained_ce
13.991211,33.261322,355,8723,5,Anger,pretrained_ce
-24.25096,-19.066423,356,7993,4,Sadness,pretrained_ce
32.958828,-18.676533,361,3077,3,Happiness,pretrained_ce
26.671913,-15.067561,362,1072,3,Happiness,pretrained_ce
29.855602,-7.4511385,363,5374,3,Happiness,pretrained_ce
36.569183,-4.6924524,366,3904,3,Happiness,pretrained_ce
39.12271,-6.806085,367,3114,3,Happiness,pretrained_ce
36.84205,-2.818407,368,5283,3,Happiness,pretrained_ce
24.022753,4.1967883,369,8079,3,Happiness,pretrained_ce
-9.381393,35.93148,371,7456,0,Surprise,pretrained_ce
40.509758,0.752383,375,394,3,Happiness,pretrained_ce
18.560696,12.050069,377,4952,3,Happiness,pretrained_ce
-19.31871,-24.009676,378,4782,4,Sadness,pretrained_ce
-20.408216,-0.24432552,379,11047,6,Neutral,pretrained_ce
-16.758194,33.365154,380,3119,0,Surprise,pretrained_ce
-2.5161557,-7.0692325,382,9595,2,Disgust,pretrained_ce
44.75212,1.4642162,383,6213,3,Happiness,pretrained_ce
29.046524,1.7170347,386,2080,3,Happiness,pretrained_ce
-12.87345,-16.953037,389,486,3,Happiness,pretrained_ce
36.231636,-20.610134,395,1304,3,Happiness,pretrained_ce
-19.955822,6.32679,398,10356,6,Neutral,pretrained_ce
-10.438679,-6.425454,399,1393,4,Sadness,pretrained_ce
-15.672173,-11.314388,401,1585,4,Sadness,pretrained_ce
-36.45333,9.735871,402,10341,6,Neutral,pretrained_ce
-36.623974,7.765898,405,11473,6,Neutral,pretrained_ce
-27.404905,-5.055706,408,10968,6,Neutral,pretrained_ce
23.049776,-1.5022887,409,5685,3,Happiness,pretrained_ce
-14.425526,35.887623,410,340,0,Surprise,pretrained_ce
23.399597,2.699628,411,2947,3,Happiness,pretrained_ce
41.43507,-5.372914,413,940,3,Happiness,pretrained_ce
30.431498,-12.273244,414,9057,3,Happiness,pretrained_ce
-6.773647,15.224563,415,8765,2,Disgust,pretrained_ce
16.727135,-7.39645,416,437,3,Happiness,pretrained_ce
-6.9114127,16.149944,420,8580,3,Happiness,pretrained_ce
26.872005,-8.037482,421,2807,3,Happiness,pretrained_ce
-19.695843,-33.771015,423,1730,4,Sadness,pretrained_ce
-25.86026,-14.113699,426,10206,6,Neutral,pretrained_ce
-30.578001,2.6617017,428,10917,6,Neutral,pretrained_ce
-16.984858,-21.838837,429,9054,4,Sadness,pretrained_ce
21.080523,0.02580961,431,317,3,Happiness,pretrained_ce
-12.032637,-31.21098,433,7355,4,Sadness,pretrained_ce
25.276878,-12.103027,434,7359,3,Happiness,pretrained_ce
14.849116,-13.154962,435,1864,3,Happiness,pretrained_ce
-28.980177,10.498085,436,12119,6,Neutral,pretrained_ce
36.34138,-2.5940025,439,1843,3,Happiness,pretrained_ce
49.184788,-4.5416675,440,380,3,Happiness,pretrained_ce
29.35519,1.3650708,441,4795,3,Happiness,pretrained_ce
9.969598,-9.945794,443,3658,2,Disgust,pretrained_ce
9.345818,1.2472436,445,5349,3,Happiness,pretrained_ce
-16.757645,13.013594,447,11617,6,Neutral,pretrained_ce
39.410343,-1.1370149,448,1668,3,Happiness,pretrained_ce
-17.796726,-37.481747,449,5101,4,Sadness,pretrained_ce
-12.364464,-4.5665298,450,5893,3,Happiness,pretrained_ce
44.083355,5.1351976,452,2952,3,Happiness,pretrained_ce
-4.1852083,16.489614,453,9516,2,Disgust,pretrained_ce
15.677159,5.8325663,454,5966,3,Happiness,pretrained_ce
-19.392904,-12.597384,456,751,4,Sadness,pretrained_ce
-10.001268,25.028624,457,7803,0,Surprise,pretrained_ce
22.83502,-6.5087104,459,3243,3,Happiness,pretrained_ce
24.077919,-1.0635145,460,8722,3,Happiness,pretrained_ce
-17.013018,-2.6199102,465,11492,6,Neutral,pretrained_ce
-24.500093,11.564355,466,10509,6,Neutral,pretrained_ce
9.637863,28.777424,467,9621,2,Disgust,pretrained_ce
-10.950409,-29.721436,468,7692,4,Sadness,pretrained_ce
20.991215,-3.2993026,469,7811,3,Happiness,pretrained_ce
12.92851,-8.197696,470,3183,3,Happiness,pretrained_ce
-35.091614,6.105311,472,9874,6,Neutral,pretrained_ce
-22.097738,-34.024372,474,4473,4,Sadness,pretrained_ce
8.127953,29.146656,475,3607,5,Anger,pretrained_ce
18.480028,-5.3232903,476,9060,3,Happiness,pretrained_ce
29.2291,9.124146,478,197,3,Happiness,pretrained_ce
-17.98451,33.7957,479,3493,0,Surprise,pretrained_ce
-13.756805,33.343937,481,7344,0,Surprise,pretrained_ce
-12.426924,36.551205,482,2269,0,Surprise,pretrained_ce
-18.18663,-24.62243,483,5851,4,Sadness,pretrained_ce
21.25093,-4.9730625,484,3912,3,Happiness,pretrained_ce
-15.408559,-29.538054,488,6740,0,Surprise,pretrained_ce
42.601807,-2.1129115,489,3125,3,Happiness,pretrained_ce
-11.072331,1.3673614,490,11944,6,Neutral,pretrained_ce
-7.577759,28.128283,491,1275,0,Surprise,pretrained_ce
-15.23633,34.52818,492,4462,0,Surprise,pretrained_ce
-18.390038,-31.095663,495,5651,4,Sadness,pretrained_ce
-9.852716,32.05194,496,4228,0,Surprise,pretrained_ce
1.9142003,-11.049647,500,7751,3,Happiness,pretrained_ce
-23.004543,0.005505394,501,9902,6,Neutral,pretrained_ce
25.811909,-0.08497244,502,4421,3,Happiness,pretrained_ce
1.1687658,19.70114,504,9381,1,Fear,pretrained_ce
29.236168,10.740769,505,2129,3,Happiness,pretrained_ce
46.14515,-4.6201925,508,4645,3,Happiness,pretrained_ce
36.901386,-8.238098,512,6153,3,Happiness,pretrained_ce
40.667274,-11.304581,514,8372,3,Happiness,pretrained_ce
-22.813974,2.4228575,515,10002,6,Neutral,pretrained_ce
1.5897671,20.977795,518,9382,1,Fear,pretrained_ce
27.654602,11.311192,519,2244,3,Happiness,pretrained_ce
12.381566,35.311066,521,4925,5,Anger,pretrained_ce
-25.613775,-12.694795,522,5187,4,Sadness,pretrained_ce
24.50887,-10.397845,524,7353,3,Happiness,pretrained_ce
-31.262228,9.406137,529,11075,6,Neutral,pretrained_ce
9.005323,4.195428,531,1856,3,Happiness,pretrained_ce
2.3371503,-8.101505,532,9447,2,Disgust,pretrained_ce
-38.702057,7.0688167,533,11866,6,Neutral,pretrained_ce
18.408537,-7.854206,534,6305,3,Happiness,pretrained_ce
39.682484,8.577792,537,4609,3,Happiness,pretrained_ce
-11.859757,-4.627161,539,2884,2,Disgust,pretrained_ce
11.103397,26.874609,540,6643,5,Anger,pretrained_ce
-28.254251,-3.4765503,541,12223,6,Neutral,pretrained_ce
-26.803898,-21.949837,542,10744,6,Neutral,pretrained_ce
-1.3174107,-15.531628,543,5997,2,Disgust,pretrained_ce
-17.220312,-4.2510023,545,11071,6,Neutral,pretrained_ce
-28.361803,-2.1507602,546,9996,6,Neutral,pretrained_ce
36.01531,-1.2489784,547,2650,3,Happiness,pretrained_ce
-9.769949,1.0171037,548,11488,6,Neutral,pretrained_ce
-21.19334,-16.158005,550,5672,2,Disgust,pretrained_ce
29.31209,-5.7211385,551,8675,3,Happiness,pretrained_ce
-24.622477,-17.5865,552,1416,4,Sadness,pretrained_ce
41.151127,-5.097997,558,7396,3,Happiness,pretrained_ce
31.691471,-6.486638,559,2610,3,Happiness,pretrained_ce
11.552247,-8.941182,561,5719,3,Happiness,pretrained_ce
-23.938435,2.3981428,562,11272,6,Neutral,pretrained_ce
28.860958,-4.495661,563,8490,3,Happiness,pretrained_ce
17.540852,8.221191,564,5557,3,Happiness,pretrained_ce
23.544653,-12.017181,565,4173,3,Happiness,pretrained_ce
-19.956255,6.240301,567,11547,6,Neutral,pretrained_ce
32.018192,-15.127615,568,7483,3,Happiness,pretrained_ce
11.680451,32.03143,569,2591,5,Anger,pretrained_ce
-15.833599,-31.883152,570,557,4,Sadness,pretrained_ce
-9.132578,22.763716,572,71,0,Surprise,pretrained_ce
-25.142834,-16.752817,573,11506,6,Neutral,pretrained_ce
29.718075,-18.35035,574,2273,3,Happiness,pretrained_ce
-38.88718,3.606762,575,12226,6,Neutral,pretrained_ce
-31.128696,4.507237,576,9789,6,Neutral,pretrained_ce
-32.80676,2.8332672,581,11973,6,Neutral,pretrained_ce
31.272976,10.418192,582,6069,3,Happiness,pretrained_ce
46.088406,-5.8626065,586,5384,3,Happiness,pretrained_ce
38.34273,-2.8371215,587,2497,3,Happiness,pretrained_ce
37.02248,-20.11508,590,3469,3,Happiness,pretrained_ce
13.155908,3.8592458,594,7760,3,Happiness,pretrained_ce
29.105154,3.5918422,597,1074,3,Happiness,pretrained_ce
-27.042858,5.062876,598,10123,6,Neutral,pretrained_ce
-11.976868,-7.5695057,600,12123,6,Neutral,pretrained_ce
10.521999,32.393925,603,7619,5,Anger,pretrained_ce
-11.040774,-19.644365,604,1622,4,Sadness,pretrained_ce
-10.739283,33.795773,605,1491,0,Surprise,pretrained_ce
-21.578047,-11.571577,607,11611,6,Neutral,pretrained_ce
-8.247124,15.199653,609,6134,0,Surprise,pretrained_ce
12.012165,6.461448,610,9081,3,Happiness,pretrained_ce
-29.304222,11.171915,611,10255,6,Neutral,pretrained_ce
-4.4605613,-13.406357,613,3838,2,Disgust,pretrained_ce
-6.9340215,9.061864,616,11752,6,Neutral,pretrained_ce
8.735715,-8.806139,618,966,2,Disgust,pretrained_ce
-39.86255,14.680477,619,10831,6,Neutral,pretrained_ce
-28.12287,5.961868,620,11771,6,Neutral,pretrained_ce
-40.28079,9.960053,622,10380,6,Neutral,pretrained_ce
-26.278015,-20.21762,623,6629,4,Sadness,pretrained_ce
-11.796694,-7.969474,626,6148,4,Sadness,pretrained_ce
12.545304,-1.1758145,627,6439,3,Happiness,pretrained_ce
-12.314206,-10.943794,628,5520,4,Sadness,pretrained_ce
-19.463896,-10.342222,630,12213,6,Neutral,pretrained_ce
-28.055727,-15.967726,631,6866,4,Sadness,pretrained_ce
-28.406351,-5.6036286,635,7442,4,Sadness,pretrained_ce
-4.968556,-15.825981,639,5843,2,Disgust,pretrained_ce
10.5785265,-7.285554,640,7124,3,Happiness,pretrained_ce
16.912691,-8.411782,643,8627,3,Happiness,pretrained_ce
-27.953705,-7.901719,644,11266,6,Neutral,pretrained_ce
24.539385,15.716072,645,7580,3,Happiness,pretrained_ce
42.346844,6.9674444,647,2945,3,Happiness,pretrained_ce
19.967918,-18.3655,648,1556,3,Happiness,pretrained_ce
10.104739,27.255707,651,2754,5,Anger,pretrained_ce
-35.43317,7.504613,654,11228,6,Neutral,pretrained_ce
-14.3262415,-36.42919,655,2482,4,Sadness,pretrained_ce
-40.14996,14.911131,656,10563,6,Neutral,pretrained_ce
-9.870169,-0.7973713,657,3897,2,Disgust,pretrained_ce
-21.986315,-29.598194,658,3827,4,Sadness,pretrained_ce
20.491959,6.738874,659,5132,3,Happiness,pretrained_ce
-23.910034,-20.018934,661,4640,4,Sadness,pretrained_ce
-7.638779,31.089808,663,752,0,Surprise,pretrained_ce
-13.984411,-34.455753,664,4341,4,Sadness,pretrained_ce
-10.341273,27.323374,667,1645,0,Surprise,pretrained_ce
36.204796,0.56506383,668,8921,3,Happiness,pretrained_ce
-17.32505,-19.679623,669,10611,6,Neutral,pretrained_ce
36.336285,3.2535052,670,2354,3,Happiness,pretrained_ce
-8.406623,-14.014381,671,1066,5,Anger,pretrained_ce
32.71138,-16.435314,672,3193,3,Happiness,pretrained_ce
-23.916245,-24.599628,673,6937,4,Sadness,pretrained_ce
0.27137193,-8.924562,674,9436,2,Disgust,pretrained_ce
-3.200548,-14.417456,675,4534,4,Sadness,pretrained_ce
-27.02896,-16.354177,678,3504,4,Sadness,pretrained_ce
-10.30842,-12.439206,682,9440,2,Disgust,pretrained_ce
-14.121654,-8.768195,684,11905,6,Neutral,pretrained_ce
-25.43009,-23.424421,687,9053,4,Sadness,pretrained_ce
31.193464,-5.8790684,690,3325,3,Happiness,pretrained_ce
35.122913,5.2194514,691,1615,3,Happiness,pretrained_ce
-15.641384,5.7174077,692,12266,6,Neutral,pretrained_ce
-14.30142,-26.504251,697,660,4,Sadness,pretrained_ce
-10.851458,-6.4273815,698,5333,2,Disgust,pretrained_ce
38.426254,-19.853289,699,2287,3,Happiness,pretrained_ce
-18.34326,-18.058031,700,3882,4,Sadness,pretrained_ce
36.876537,-13.147521,701,4172,3,Happiness,pretrained_ce
3.6805296,17.882143,702,9272,1,Fear,pretrained_ce
34.4185,-3.7536583,704,1534,3,Happiness,pretrained_ce
-9.329785,36.16943,705,180,0,Surprise,pretrained_ce
-8.847307,28.974146,710,1781,0,Surprise,pretrained_ce
-18.10689,3.4471493,711,3950,3,Happiness,pretrained_ce
-18.94763,3.9904215,712,11495,6,Neutral,pretrained_ce
-18.416544,29.389622,713,6033,0,Surprise,pretrained_ce
-36.874542,4.235096,714,10857,6,Neutral,pretrained_ce
35.575474,5.159109,715,3296,3,Happiness,pretrained_ce
-36.602226,7.749802,716,11448,6,Neutral,pretrained_ce
17.939312,6.744415,717,6547,3,Happiness,pretrained_ce
-15.412247,35.236732,718,5083,0,Surprise,pretrained_ce
-10.917853,-31.859583,721,8729,4,Sadness,pretrained_ce
-19.446716,-35.570717,722,3621,4,Sadness,pretrained_ce
-21.579746,-24.283867,724,4707,4,Sadness,pretrained_ce
-12.130588,-1.9362359,726,10316,6,Neutral,pretrained_ce
37.19444,-11.567662,727,5002,3,Happiness,pretrained_ce
-20.437328,-21.313297,731,8796,4,Sadness,pretrained_ce
-1.8956249,-14.852912,732,9697,2,Disgust,pretrained_ce
48.400574,2.7883518,734,8385,3,Happiness,pretrained_ce
-5.9120164,7.1333256,735,11746,6,Neutral,pretrained_ce
-24.399212,-15.790195,737,3233,4,Sadness,pretrained_ce
-36.51558,1.592348,738,10664,6,Neutral,pretrained_ce
0.19069901,-6.2971497,741,1758,0,Surprise,pretrained_ce
29.101171,-14.227287,744,6822,3,Happiness,pretrained_ce
-22.629848,1.9875377,745,10712,6,Neutral,pretrained_ce
-31.329899,-11.246586,746,12131,6,Neutral,pretrained_ce
10.897085,33.918472,747,6929,5,Anger,pretrained_ce
-12.61938,24.337456,748,5689,0,Surprise,pretrained_ce
-19.580828,-24.911257,750,808,4,Sadness,pretrained_ce
